ticker,company,evidence_stage,financial_conversion,valuation_burden,action,binding_issue
002979.SZ,雷赛智能,scaled_multi_customer_batch,strong_accelerating,high,WATCH_START_SMALL_REVIEW,H1_actual_cash_and_robot_segment_economics
002600.SZ,领益智造,scaled_multi_platform_production,mixed_Q1_profit_down,medium_high,WATCH_EVENT_READY,new_business_group_EPS_conversion
300602.SZ,飞荣达,AI_batch_robot_option,strong_profit_CFO_lag,high,WATCH,AI_LC_margin_revenue_and_cash_conversion
002472.SZ,双环传动,RV_scaled_humanoid_codevelopment,strong_parent_cash_profit,moderate,WATCH_VALUE_CHALLENGER,parent_value_capture_and_humanoid_revenue
601689.SH,拓普集团,new_field_orders_early_robot,profitable_base_not_reaccelerating,moderate,WATCH_CHALLENGER,separate_robot_vs_AI_LC_materiality
301252.SZ,同星科技,structures_stable_batch_thermal_small_batch,weakening,high,WATCH_THESIS_BUILDING,profitable_scale_conversion
600580.SH,卧龙电驱,capability_named_cooperation,legacy_stable_robot_opaque,medium_high,WATCH,batch_robot_revenue
688017.SH,绿的谐波,scaled_strong_validation,strong_growth,extreme,WATCH_AVOID_CHASING,price_implied_growth_and_architecture_competition
688322.SH,奥比中光,multiple_named_design_ins,H1_slowdown_weak_CFO,extreme,AVOID_WATCH,revenue_reacceleration_and_R&D_leverage
002747.SZ,埃斯顿,industrial_scaled_humanoid_small_batch,turnaround_nonrecurring_noise,extreme,WATCH_AVOID_CHASING,recurring_profit_and_humanoid_commercialization
002536.SZ,飞龙股份,real_LC_orders_batch,profit_margin_CFO_down,very_high,AVOID_WATCH,order_to_margin_cash_conversion
002896.SZ,中大力德,capability_current_mapping_unverified,deteriorating,extreme,AVOID,current_primary_customer_batch_evidence
002520.SZ,日发精机,application_capability,loss_audit_risk,NA,AVOID,core_recovery_and_real_robot_equipment_orders
